PlayerName,PlayerUID,InferredRace,RaceConfidence,InferredAge,InferredEmotion,EmotionConfidence,PlayerHeightWeight,PlayerBirthdate,PlayerCollege,PlayerDraftInfo,PlayerOverallStatus,PlayerURL
Cade Otton,s:20~l:28~a:4243331,White,6552.34%,26,Happy,10000.00%,"6' 5"", 247 lbs",4/15/1999 (26),Washington,"2022: Rd 4, Pk 106 (TB)",Active,https://www.espn.com/nfl/player/_/id/4243331/cade-otton
Jake Julien,s:20~l:28~a:4244814,White,9992.80%,26,Neutral,9872.16%,"6' 2"", 217 lbs",9/10/1998 (26),E Michigan,N/A,Active,https://www.espn.com/nfl/player/_/id/4244814/jake-julien
Josh Hayes,s:20~l:28~a:4248533,Black,10000.00%,30,Neutral,9982.95%,"6' 0"", 190 lbs",4/24/1999 (26),Kansas St,"2023: Rd 6, Pk 181 (TB)",Active,https://www.espn.com/nfl/player/_/id/4248533/josh-hayes
Cody Mauch,s:20~l:28~a:4248545,White,7042.52%,38,Sad,9990.03%,"6' 6"", 303 lbs",1/15/1999 (26),N Dakota St,"2023: Rd 2, Pk 48 (TB)",Active,https://www.espn.com/nfl/player/_/id/4248545/cody-mauch
Mike Greene,s:20~l:28~a:4249596,Black,5083.53%,32,Neutral,9987.24%,"6' 3"", 293 lbs",5/3/1999 (26),James Madison,N/A,Active,https://www.espn.com/nfl/player/_/id/4249596/mike-greene
Zyon McCollum,s:20~l:28~a:4250392,Middle Eastern,3117.11%,27,Neutral,8762.01%,"6' 2"", 199 lbs",5/3/1999 (26),Sam Houston,"2022: Rd 5, Pk 157 (TB)",Active,https://www.espn.com/nfl/player/_/id/4250392/zyon-mccollum
Lorenz Metz,s:20~l:28~a:4360063,White,9886.47%,29,Neutral,6637.06%,"6' 9"", 310 lbs",3/7/1997 (28),Cincinnati,N/A,Active,https://www.espn.com/nfl/player/_/id/4360063/lorenz-metz
Logan Hall,s:20~l:28~a:4360189,White,4504.09%,28,Happy,9979.09%,"6' 6"", 283 lbs",4/22/2000 (25),Houston,"2022: Rd 2, Pk 33 (TB)",Active,https://www.espn.com/nfl/player/_/id/4360189/logan-hall
Kaevon Merriweather,s:20~l:28~a:4360502,Black,9993.25%,27,Neutral,9896.72%,"6' 0"", 212 lbs",12/20/1999 (25),Iowa,N/A,Active,https://www.espn.com/nfl/player/_/id/4360502/kaevon-merriweather
Antonio Grier Jr.,s:20~l:28~a:4360864,Black,9999.32%,28,Happy,6434.79%,"6' 1"", 230 lbs",1/18/2000 (25),Arkansas,N/A,Active,https://www.espn.com/nfl/player/_/id/4360864/antonio-grier-jr
Devin Culp,s:20~l:28~a:4361112,Black,9998.91%,33,Happy,9878.31%,"6' 4"", 237 lbs",2/2/2000 (25),Washington,"2024: Rd 7, Pk 246 (TB)",Active,https://www.espn.com/nfl/player/_/id/4361112/devin-culp
Raiqwon O'Neal,s:20~l:28~a:4361528,Black,10000.00%,30,Happy,9263.76%,"6' 4"", 305 lbs",1/12/2000 (25),UCLA,N/A,Active,https://www.espn.com/nfl/player/_/id/4361528/raiqwon-oneal
Evan Deckers,s:20~l:28~a:4361727,White,9531.94%,21,Neutral,9315.38%,"6' 3"", 252 lbs",2/23/1999 (26),Duke,N/A,Active,https://www.espn.com/nfl/player/_/id/4361727/evan-deckers
Elijah Klein,s:20~l:28~a:4362066,White,9005.04%,26,Happy,9999.62%,"6' 4"", 319 lbs",4/8/2000 (25),UTEP,"2024: Rd 6, Pk 220 (TB)",Active,https://www.espn.com/nfl/player/_/id/4362066/elijah-klein
Tyrek Funderburk,s:20~l:28~a:4367330,Black,9992.24%,26,Happy,9842.01%,"6' 0"", 185 lbs",11/28/2000 (24),App State,N/A,Active,https://www.espn.com/nfl/player/_/id/4367330/tyrek-funderburk
Garret Greenfield,s:20~l:28~a:4368306,White,9888.90%,26,Happy,9967.24%,"6' 6"", 310 lbs",9/20/1999 (25),S Dakota St,N/A,Active,https://www.espn.com/nfl/player/_/id/4368306/garret-greenfield
Ryan Miller,s:20~l:28~a:4369466,White,10000.00%,25,Happy,10000.00%,"6' 2"", 221 lbs",2/20/2000 (25),Furman,N/A,Active,https://www.espn.com/nfl/player/_/id/4369466/ryan-miller
